Rank,Site,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
383,Internet CompanyChina,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, Infiniband EDRInspur","26,880","1,161.0","2,400.0",
384,Service Provider TChina,"Internet Company T CC1- Lenovo RD450, Xeon E5-2670v3 12C 2.3GHz, 10G EthernetLenovo","64,320","1,156.5","2,367.0",
385,Telecom CompanyChina,"Huawei G5500, Xeon E5-2650v4 12C 2.2GHz, NVIDIA Tesla V100, 100G EthernetHuawei Technologies Co., Ltd.","23,904","1,154.8","1,964.9",107
386,Internet Service AChina,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","28,800","1,152.0","2,544.0",
387,Internet Service PChina,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla P100, 25G EthernetInspur","28,800","1,152.0","2,413.8",
388,Internet Service AChina,"INSPUR NF5280M4, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","28,800","1,152.0","2,361.6",
389,Internet Service AChina,"INSPUR NF5280M4, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","28,800","1,152.0","2,361.6",
390,Internet Service AChina,"Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","28,800","1,152.0","2,361.6",
391,Service Provider TChina,"Lenovo RD450, Xeon E5-2670v3 12C 2.3GHz, 10G EthernetLenovo","78,000","1,149.6","2,870.4","2,438"
392,Internet CompanyChina,"JD C1- Lenovo x3550, Xeon E5-2650v4 12C 2.2GHz, 10G EthernetLenovo","67,200","1,145.4","2,365.4",
393,Barcelona Supercomputing CenterSpain,"MareNostrum P9 CTE- IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100IBM","18,360","1,145.0","1,403.0",81
394,Los Alamos National LaboratoryUnited States,"LANL/NNSA CTS-1 Fire- Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-PathPenguin Computing, Inc.","39,672","1,144.8","1,333.0",486
395,Los Alamos National LaboratoryUnited States,"LANL/NNSA CTS-1 Ice- Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-PathPenguin Computing, Inc.","39,672","1,144.8","1,333.0",486
396,Petroleum CompanyChina,"Huawei RH2288H V3 Cluster, Xeon E5-2680v4 14C 2.4GHz, Infiniband FDRHuawei Technologies Co., Ltd.","41,440","1,142.2","1,591.3",578
397,Service Provider TChina,"Inspur TS10000, Xeon Platinum 8160  24C 2.1GHz, NVIDIA Tesla V100, 10G EthernetInspur","27,520","1,142.0","2,278.5",
398,Service Provider TChina,"Inspur TS10000, Xeon Platinum 8160  24C 2.1GHz, NVIDIA Tesla V100, 10G EthernetInspur","27,520","1,142.0","2,278.5",
399,Service Provider TChina,"Inspur TS10000, Xeon Platinum 8160  24C 2.1GHz, NVIDIA Tesla V100, 10G EthernetInspur","27,520","1,142.0","2,278.5",
400,Service Provider TChina,"Inspur TS10000, Xeon Platinum 8160  24C 2.1GHz, NVIDIA Tesla V100, 100G EthernetInspur","27,520","1,142.0","2,278.5",
Rank,Site,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
401,Internet Service PChina,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 25G EthernetInspur","26,880","1,142.0","2,235.5",
402,Internet Service AChina,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G EthernetInspur","59,520","1,128.0","2,380.8",
403,Internet Service AChina,"Inspur SA5212M4, Xeon E5-2682v4 16C 2.5GHz, 10G EthernetInspur","59,520","1,128.0","2,380.8",
404,Internet Service AChina,"INSPUR NF5280M4, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","28,800","1,128.0","2,160.0",
405,Internet Service AChina,"INSPUR NF5280M4, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","28,800","1,128.0","2,160.0",
406,Internet Service AChina,"Inspur NF5588M4, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","28,800","1,128.0","2,160.0",
407,Internet Service AChina,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","28,800","1,128.0","2,120.0",
408,Internet Service AChina,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 25G EthernetInspur","28,800","1,128.0","2,120.0",
409,Internet Service AChina,"Inspur NF5280M, Xeon E5-2682v4 16C 2.5GHz, NVIDIA Tesla P100, 10G EthernetInspur","28,800","1,128.0","2,120.0",
410,Service Provider TChina,"Internet Company T BB1- Lenovo RD450, Xeon E5-2670v3 12C 2.3GHz, 10G EthernetLenovo","62,400","1,127.5","2,296.3",
411,Chinese Institute of MeteorologyChina,"Huawei RH5885H V3 Cluster, Xeon E7-4850v4 16C 2.1GHz, Infiniband FDRHuawei Technologies Co., Ltd.","46,080","1,127.2","1,548.3",648
412,Internet CompanyChina,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 100G EthernetInspur","26,880","1,127.0","2,235.5",
413,Internet CompanyChina,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 100G EthernetInspur","26,880","1,127.0","2,235.5",
414,Internet CompanyChina,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 100G EthernetInspur","26,880","1,127.0","2,235.5",
415,Internet Service UChina,"Inspur TS10000, Xeon Gold 6130 16C 2.1GHz, NVIDIA Tesla V100, 100G EthernetInspur","26,880","1,127.0","2,235.5",
416,Internet Service (B)China,"data-ML- Sugon I620, Xeon E5-2650v4 12C 2.2GHz, 10G EthernetSugon","64,800","1,124.0","2,281.0","1,620"
417,Cloud ProviderAustralia,"AC1- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","38,400","1,123.2","1,413.1",
418,Cloud ProviderBrazil,"BC1- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","38,400","1,123.2","1,413.1",
419,Cloud ProviderAustralia,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","38,400","1,123.2","1,413.1",
420,"Software CompanyKorea, South","KC1- Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G EthernetLenovo","38,400","1,123.2","1,413.1",
