Rank,Site,System,Cores,Rmax (TFlop/s),Rpeak (TFlop/s),Power (kW)
37,NASA/Ames Research Center/NASUnited States,"Electra- HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IBHPE","124,416","5,444.6","8,316.5","1,686"
38,Total Exploration ProductionFrance,"Pangea- SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDRHPE","220,800","5,283.1","6,712.3","4,150"
39,National Renewable Energy LaboratoryUnited States,"Eagle- HPE SGI 8600, Xeon Gold 6154 18C 3GHz, EDR Infiniband/ 8D HypercubeHPE","75,600","4,850.7","7,257.6",
40,National Center for Atmospheric Research (NCAR)United States,"Cheyenne- SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDRHPE","144,900","4,788.2","5,332.3","1,727"
41,"Research Institute for Information Technology, Kyushu UniversityJapan","ITO - Subsystem A- Fujitsu PRIMERGY CX2550/CX2560 M4, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDRFujitsu","72,000","4,540.7","6,912.0",
42,CNRS/IDRIS-GENCIFrance,"Jean Zay- HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, Intel Omni-PathHPE","93,960","4,478.0","7,345.6",
43,SugonChina,"Advanced Computing System(PreE)- Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-TorusSugon","163,840","4,325.0","6,134.2",380
44,DOE/NNSA/LLNLUnited States,"Vulcan- BlueGene/Q, Power BQC 16C 1.600GHz, Custom InterconnectIBM","393,216","4,293.3","5,033.2","1,972"
45,"Information Technology Center, The University of TokyoJapan","Oakbridge-CX- Fujitsu PRIMERGY CX2550/CX2560 M5, Xeon Platinum 8280 28C 2.7GHz, Intel Omni-PathFujitsu","76,608","4,289.9","6,618.9",845
46,Research InstituteJapan,"Apollo 6500 XL270d Gen10, Xeon Gold 6140 18C 2.3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2HPE","70,416","4,128.0","5,783.8",
47,CEA/TGCC-GENCIFrance,"JOLIOT-CURIE SKL- Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDRBull, Atos Group","79,488","4,065.6","6,635.5",917
48,Petroleum Geo-ServicesUnited States,"Abel- Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnectCray Inc.","145,920","4,042.5","5,369.9","1,800"
49,ECMWFUnited Kingdom,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnectCray Inc.","126,468","3,944.7","4,249.3","1,897"
50,ECMWFUnited Kingdom,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnectCray Inc.","126,468","3,944.7","4,249.3","1,897"
51,MIT Lincoln Laboratory Supercomputing CenterUnited States,"TX-GAIA (Green AI Accelerator)- Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-PathHPE","86,800","3,902.0","6,855.1",
52,Forschungszentrum Juelich (FZJ)Germany,"JURECA- T-Platforms V-Class/Dell C6320P, E5-2680v3/Phi 7250-F, EDR/Intel Omni-Path/ParTec ParaStation, Tesla K80/K40T-Platforms, Intel, Dell","155,150","3,782.6","6,563.8","1,345"
